brand_code,carb_volume,fill_ounces,pc_volume,carb_pressure,carb_temp,psc_fill,psc_co2,mnf_flow_bin,carb_pressure1,fill_pressure,hyd_pressure1_bin,hyd_pressure2_bin,hyd_pressure3_bin,hyd_pressure4,filler_level,temperature,usage_cont,carb_flow_bin,density_bin,balling_bin,pressure_vacuum,ph,bowl_setpoint_bin,pressure_setpoint_bin,air_pressurer_bin,alch_rel_bin,carb_rel,balling_lvl_bin,filler_speed_trans,psc_trans,mfr_trans,oxygen_filler_trans
D,5.48,24.0333333333333,0.27,65.4,134.6,0.399999999999999,0.04,negative,116.6,46,zero,above_zero,above_zero,96,129.4,66,21.66,high,low,low,-3.8,NA,130,46,low,low,5.34,low,7944097.5,-1.0284033758807105,264700.38,-2.6694708441470647
A,5.39333333333333,23.9533333333333,0.226666666666667,63.2,135,0.219999999999999,0.08,negative,118.8,46.2,zero,zero,zero,112,120,65.6,17.6,high,high,high,-4.4,NA,120,46,high,mid,5.58,high,8048071.5,-1.590121969361616,270700.31999999995,-2.520327901793584
B,5.29333333333333,23.92,0.303333333333333,66.4,140.4,0.100000000000001,0.0199999999999996,negative,120.2,45.8,zero,zero,zero,98,119.4,65.6,24.18,high,low,low,-4.2,NA,120,46,high,low,5.34,low,8040049.5,-1.478463807583788,269965.01999999996,-2.299018741836315
B,5.26666666666667,23.94,0.186,64.8,139,0.199999999999999,0.0200000000000005,negative,124.8,40,zero,zero,zero,132,120.2,74.4,18.12,low,low,low,-4,NA,120,46,high,low,5.5,low,4620799.5,-1.873508893593265,136973.28,-2.0295903420323516
B,5.40666666666667,24.2,0.16,69.4,142.2,0.3,0.0600000000000005,negative,115,51.4,zero,zero,zero,94,116,66.4,21.32,high,low,low,-4,NA,120,50,high,low,5.38,low,8072161.5,-1.6,282751.5,-1.967975021339981
B,5.28666666666667,24.1066666666667,0.212,73.4,147.2,0.219999999999999,0.0600000000000005,negative,118.6,46.4,zero,zero,zero,94,120.4,66.6,18,high,low,low,-3.8,NA,120,46,high,low,5.42,low,8040049.5,-1.4414303982492425,267911.5,-2.1146001881855723
A,5.48,23.9333333333333,0.243333333333333,65.2,134.6,0.140000000000001,0,negative,117.6,46.2,zero,zero,zero,108,119.6,66.8,17.68,high,high,high,-4.2,NA,120,46,high,mid,5.46,high,8040049.5,-1.406704121032347,266303.51999999996,-2.347716995362465
B,5.42,24.0666666666667,0.12266666666666701,67.4,139,0.100000000000001,0.04,negative,121.4,40,zero,zero,zero,108,131.4,67.8,12.9,mid,high,high,-4.4,NA,120,46,high,mid,5.42,high,7952071.5,-1.4486380499163911,265428.48000000004,-1.8708653554681016
A,5.40666666666667,23.92,0.332666666666667,66.8,138,0.48,0.04,negative,136,43.8,zero,zero,zero,110,121,65.8,17.7,high,high,high,-4.4,NA,120,46,high,mid,5.44,high,8040049.5,-1.0080322585890205,274688.22000000003,-2.299018741836315
D,5.47333333333333,24.0266666666667,0.256,72.6,144,0.0999999999999979,0.0200000000000005,negative,126.6,40.8,zero,zero,zero,106,120.8,66,22.8,low,high,high,-4.2,NA,120,46,high,high,5.52,high,506017.5,-1.235801073018288,121.17999999999999,-1.8708653554681016
B,5.18,24.1333333333333,0.343333333333333,64,140.8,0.34,0.04,negative,121.2,46.6,zero,zero,zero,98,120.2,65.4,20.04,high,low,low,-4.2,NA,120,46,high,low,5.36,low,8040049.5,-1.3306719787727395,268497.42,-2.096787724877965
B,5.26,24.08,0.22,63.2,139.6,0.259999999999998,0.2,negative,117.2,46.2,zero,zero,zero,96,118.4,65.8,17.16,high,low,low,-4.2,NA,120,46,high,low,5.38,low,8040049.5,-1.1420955764189114,270700.31999999995,-2.2759300725733387
B,5.3,24.06,0.282,65,138.8,0.120000000000001,0,negative,117,45.8,zero,zero,zero,100,119.6,65.4,20.52,high,low,low,-4.8,NA,120,46,high,low,5.28,low,8040049.5,-1.220256452415283,270553.18,-2.096787724877965
B,5.30666666666667,23.94,0.288666666666667,63.8,137.2,0.18,0.0200000000000005,negative,122,46.4,zero,zero,zero,100,119.8,65.6,21.44,high,low,low,-4.8,NA,120,46,low,low,5.22,low,8064127.5,-1.367544467966324,271141.98,-2.253598641734705
C,5.27333333333333,23.9733333333333,0.320666666666667,64.6,140,0.279999999999998,0.100000000000001,negative,116.4,46.2,zero,zero,zero,92,120.2,67.6,21.08,high,low,low,-4.2,NA,120,46,low,low,5.26,low,8048071.5,-1.434314575050762,272321.5,-2.299018741836315
C,5.25333333333333,23.8866666666667,0.319333333333333,65,140,0.259999999999998,0.0199999999999996,negative,125.6,43.4,zero,zero,zero,110,130.4,69,18.16,low,low,low,-4.8,NA,120,46,low,low,5.28,low,510049.5,-1.561821953995867,27004.38,-1.534275784224268
B,5.34,23.9866666666667,0.253333333333333,70.4,144.8,0.119999999999997,0,negative,118,45.6,zero,zero,zero,90,119.2,66,18.6,high,low,low,-4,NA,120,46,low,low,5.36,low,7992001.5,-1.3247222793546347,266741.57999999996,-1.8326938891528417
B,5.26666666666667,23.94,0.274666666666667,65.4,140.2,0.419999999999998,0.0599999999999996,negative,116.4,46.2,zero,zero,zero,90,120.6,65.8,18.18,high,low,low,-4.4,NA,120,46,low,low,5.3,low,7968031.5,-1.3014300321370809,265428.48000000004,-2.1516047398582434
D,5.50666666666667,23.8933333333333,0.249333333333333,68.4,138.6,0.120000000000001,0.0199999999999996,negative,118,46.2,zero,zero,zero,76,120.2,64.2,21.68,high,high,high,-4.2,NA,120,46,low,high,5.62,high,7984007.5,-1.518336216848308,266303.51999999996,-1.560667619478632
B,5.32,23.96,0.190666666666667,66.4,140.2,0.0399999999999991,0,negative,117.8,45.4,zero,zero,zero,92,120,65.4,22.28,high,low,low,-4.4,NA,120,46,low,low,5.38,low,7984007.5,-1.6101282262076415,264118.62,-2.6694708441470647
B,5.27333333333333,23.9666666666667,0.199333333333333,68.4,141.8,0.299999999999997,0.2,negative,117.2,46,zero,zero,zero,94,120.2,65.6,24.02,high,low,low,-4.4,NA,120,46,low,low,5.4,low,7992001.5,-1.8211145618000166,267911.5,-2.6694708441470647
B,5.53333333333333,23.9866666666667,0.246666666666667,70.4,142.2,0.0799999999999983,0.0599999999999996,negative,121,47.6,zero,zero,zero,118,120,67.4,13.56,high,low,low,-4.4,NA,120,46,low,low,5.48,low,4015777.5,-1.5020040160804506,136973.28,-2.210998445675431
A,5.42666666666667,23.9866666666667,0.255333333333333,69,140.4,0.48,0.04,negative,121.2,38.8,zero,zero,zero,110,131.4,66.4,19.32,mid,high,high,-4.4,NA,120,46,low,mid,5.54,high,960497.5,-1.3014300321370809,61179.520000000004,-2.6694708441470647
B,5.40666666666667,23.94,0.329333333333333,66.2,137.8,0.46,0.0199999999999996,negative,130.6,44.6,zero,zero,zero,96,119,67,17.52,high,low,low,-4,NA,120,46,low,low,5.46,low,8008001.5,-1.0878596599206896,267472.48,-2.6694708441470647
B,5.45333333333333,24.0933333333333,0.235333333333333,66.4,136.2,0.0600000000000023,0.0600000000000005,negative,125.2,46.4,zero,zero,zero,94,120.2,66.4,20.38,high,low,low,-4.6,NA,120,46,low,low,5.38,low,8040049.5,-1.4633436854000506,271436.62,-2.628559390220687
C,5.26666666666667,23.9466666666667,0.276666666666667,64.8,139.2,0.18,0.0200000000000005,negative,116.6,46.2,zero,zero,zero,90,120.6,66,24.12,high,low,low,-4.4,NA,120,46,low,low,5.32,low,8056097.5,-1.561821953995867,272764.48000000004,-2.6694708441470647
C,5.25333333333333,23.9933333333333,0.293333333333333,70.4,146.4,0.139999999999997,0.0199999999999996,negative,122.2,46,zero,zero,zero,102,119.8,66.8,17.54,high,low,low,-4.2,NA,120,46,low,low,5.34,low,8048071.5,-1.6,274688.22000000003,-2.6694708441470647
D,5.5,24.0466666666667,0.246666666666667,71,141.8,0.0199999999999996,0,negative,120.4,46.4,zero,zero,zero,78,119.4,65.6,18.12,high,high,high,-3.8,NA,120,46,low,high,5.66,high,8040049.5,-1.6,270259.02,-1.4756433235259563
D,5.48,23.8933333333333,0.224666666666667,70.4,140.8,0.34,0.0599999999999996,negative,120.2,50.4,zero,zero,zero,80,120,64.8,16.94,high,high,high,-3.8,NA,120,50,low,high,5.62,high,8040049.5,-1.3803226646068132,274391.81999999995,-2.6694708441470647
D,5.48666666666667,23.98,0.306666666666667,69.6,140,0.159999999999997,0.0199999999999996,negative,122.6,47,zero,zero,zero,78,120.2,64.6,17.04,high,high,high,-4,NA,120,46,low,high,5.62,high,8040049.5,-1.032529070204174,269230.72,-2.628559390220687
D,5.46666666666667,24.04,0.23,70.2,141.2,0.100000000000001,0.04,negative,120.2,46.6,zero,zero,zero,78,120.4,65.4,23.44,high,high,high,-4,NA,120,46,low,high,5.56,high,8040049.5,-1.873508893593265,268204.38,-2.096787724877965
D,5.46,24.0466666666667,0.278,70.8,141.8,0.619999999999997,0.0999999999999996,negative,125.6,40,zero,zero,zero,104,121.8,70.6,19.22,low,high,high,-4.2,NA,120,46,low,high,5.58,high,508031.5,-1.1657338554154317,27004.38,-2.628559390220687
B,5.32,23.8533333333333,0.268666666666667,64.4,137,0.100000000000001,0.04,negative,120.4,46.8,zero,zero,zero,104,119.2,66,18.04,high,low,low,-4.2,NA,120,46,low,low,5.38,low,8072161.5,-1.478463807583788,269083.98000000004,-2.6694708441470647
B,5.31333333333333,23.9533333333333,0.318666666666667,64.2,136.8,0.439999999999998,0.04,negative,118.2,45.8,zero,zero,zero,100,120.4,65.2,22.02,high,low,low,-4.2,NA,120,46,low,low,5.36,low,8056097.5,-1.0661905976056998,266303.51999999996,-2.6694708441470647
B,5.26666666666667,23.98,0.28,73.2,149.8,0.239999999999998,0.04,negative,124.6,44.8,zero,zero,zero,102,121,65,16.72,high,low,low,-4,NA,120,46,low,low,5.34,low,7960049.5,-1.6,262232.32,-2.428239601622479
A,5.48666666666667,24.1066666666667,0.198666666666667,75,146.4,0.279999999999998,0.04,negative,114.8,46.2,zero,zero,zero,100,120.2,65.4,17.76,high,high,high,-4,NA,120,46,low,mid,5.44,high,8064127.5,-1.4134848680553929,268497.42,-2.6694708441470647
A,5.46,23.98,0.204666666666667,65.8,136.6,0.0399999999999991,0.0599999999999996,negative,116.8,45.6,zero,zero,zero,100,119.2,66.2,17.76,high,high,high,-3.6,NA,120,46,low,mid,5.54,high,8040049.5,-1.8000000000000003,266449.5,-2.6694708441470647
A,5.44,23.92,0.236,69.4,142,0.16,0.08,negative,116.4,46,zero,zero,zero,98,120.8,66.4,21.46,high,high,high,-3.6,NA,120,46,low,mid,5.56,high,8048071.5,-1.5527864045000421,267765.12,-2.6694708441470647
D,5.48,23.9066666666667,0.178666666666667,70.4,141,0.219999999999999,0.04,negative,118,46,zero,zero,zero,74,120.8,65,19.68,high,high,high,-4.4,NA,120,46,low,high,5.58,high,8048071.5,-1.4,268057.92000000004,-2.2319707625728427
D,5.47333333333333,23.92,0.347333333333333,74.2,145.2,0.5,0.0799999999999992,negative,125.8,46.8,zero,zero,zero,78,123.2,65.2,16.74,high,high,high,-4.4,NA,120,46,low,high,5.6,high,8040049.5,-1.0661905976056998,277810.07999999996,-2.253598641734705
D,5.52666666666667,23.9866666666667,0.222,70.8,140.6,0.240000000000002,0.0799999999999992,negative,132.8,45.6,zero,zero,zero,76,119,65.6,16.92,high,high,high,-4.4,NA,120,46,low,high,5.62,high,8080199.5,-1.3612512230931475,273799.5,-2.347716995362465
B,5.38,24.0666666666667,0.288,66.8,139,0.18,0.04,negative,124.8,46,zero,zero,zero,94,119,66,21.08,high,low,low,-4.6,NA,120,46,low,low,5.5,low,8072161.5,-1.518336216848308,259487.58,-2.628559390220687
C,5.31333333333333,24.1066666666667,0.314666666666667,66.4,139.8,0.100000000000001,0.100000000000001,negative,133.4,45.8,zero,zero,zero,92,120,66.4,20.28,high,low,low,-5,NA,120,46,low,low,5.38,low,7928161.5,-1.434314575050762,263973.28,-2.6694708441470647
C,5.34666666666667,23.9533333333333,0.321333333333333,65.6,139.2,0.219999999999999,0.08,negative,130.4,46,zero,zero,zero,90,119,68.2,20.88,high,low,low,-5,NA,120,46,low,low,5.4,low,7920199.5,-1.561821953995867,267618.78,-2.6694708441470647
B,5.36666666666667,23.9466666666667,0.343333333333333,67.8,141.2,0.100000000000001,0.04,negative,114.6,46.2,zero,zero,zero,100,119.8,65.6,19.72,high,low,low,-5.4,NA,120,46,low,low,5.4,low,8040049.5,-1.4486380499163911,262377.18,-2.628559390220687
D,5.54666666666667,23.9533333333333,0.276,68.2,136.8,0.140000000000001,0.04,negative,114,46.2,zero,zero,zero,78,119.8,64.6,19.82,high,high,high,-5,NA,120,46,low,high,5.62,high,8048071.5,-1.470849737787082,260497.11999999997,-2.428239601622479
D,5.52666666666667,23.9666666666667,0.270666666666667,71.6,141.4,0.0399999999999991,0.04,negative,115.6,46.2,zero,zero,zero,76,122.8,64,18.78,high,high,high,-5.2,NA,120,46,low,high,5.62,high,8032031.5,-1.4414303982492425,288040,-2.428239601622479
B,5.32,23.8933333333333,0.277333333333333,67.6,140.4,0.18,0.08,negative,114.2,45.8,zero,zero,zero,96,119.4,65.4,17.34,high,low,low,-4.8,NA,120,46,low,low,5.4,low,8040049.5,-1.3306719787727395,277959.18,-2.628559390220687
A,5.42,23.92,0.288666666666667,74.2,147.6,0.16,0,negative,126.8,46,zero,zero,zero,104,120,66.8,21.2,high,high,high,-5.2,NA,120,46,low,mid,5.52,high,8048071.5,-1.518336216848308,267180,-2.628559390220687
A,5.38,23.9333333333333,0.304,69.4,143,0.219999999999999,0.04,negative,126.8,45.6,zero,zero,zero,112,120.8,65.8,18.5,high,high,high,-4.8,NA,120,46,low,mid,5.5,high,8040049.5,-1.717157287525381,275281.5,-2.628559390220687
D,5.54666666666667,23.94,0.438,65.6,133.6,0.120000000000001,0.0199999999999996,negative,117.4,45.8,zero,zero,zero,72,116.6,65.4,21.46,high,high,high,-5.2,NA,120,46,low,high,5.64,high,7936127.5,-1.3014300321370809,270994.72000000003,-2.0624206112940184
B,5.31333333333333,23.9666666666667,0.312,63.4,136.8,0.280000000000001,0.0599999999999996,negative,119.2,49.8,zero,zero,zero,100,119.6,65.6,16.34,high,low,low,-4.8,NA,120,50,low,low,5.38,low,8040049.5,-1.1900617307473365,263682.72000000003,-2.6694708441470647
