brand_code,carb_volume,fill_ounces,pc_volume,carb_pressure,carb_temp,psc_fill,psc_co2,mnf_flow_bin,carb_pressure1,fill_pressure,hyd_pressure1_bin,hyd_pressure2_bin,hyd_pressure3_bin,hyd_pressure4,filler_level,temperature,usage_cont,carb_flow_bin,density_bin,balling_bin,pressure_vacuum,ph,bowl_setpoint_bin,pressure_setpoint_bin,air_pressurer_bin,alch_rel_bin,carb_rel,balling_lvl_bin,psc_trans,filler_speed_trans,mfr_trans,oxygen_filler_trans
B,5.34,23.9666666666667,0.263333333333333,68.2,141.2,0.260000000000002,0.04,negative,118.8,46,zero,zero,zero,118,121.2,66,16.18,high,low,low,-4,8.36,120,46,low,low,5.32,low,-1.355019380136116,8008001.5,262812,-2.6694708441470647
A,5.42666666666667,24.0066666666667,0.238666666666667,68.4,139.6,0.220000000000002,0.04,negative,121.6,46,zero,zero,zero,106,118.6,67.6,19.9,high,low,low,-4,8.26,120,46,low,low,5.3,low,-1.2957273255336397,7944097.5,264118.62,-2.590290588137647
B,5.28666666666667,24.06,0.263333333333333,70.8,144.8,0.34,0.16,negative,120.2,46,zero,zero,zero,82,120,67,17.76,high,high,high,-3.8,8.94,120,46,low,high,5.84,high,-1.4,8080199.5,270112,-2.628559390220687
A,5.44,24.0066666666667,0.293333333333333,63,132.6,0.420000000000002,0.04,negative,115.2,46.4,zero,zero,zero,92,117.8,65.6,17.42,high,high,high,-4.4,8.24,120,46,high,mid,5.42,high,-1.8211145618000166,8048071.5,266887.68,-2.520327901793584
A,5.48666666666667,24.3133333333333,0.111333333333333,67.2,136.8,0.16,0.12,negative,118.4,45.8,zero,zero,zero,92,118.6,65.6,17.68,high,high,high,-4.4,8.26,120,46,high,mid,5.44,high,-1.677509690068058,8040049.5,261219.41999999995,-2.520327901793584
A,5.38,23.9266666666667,0.269333333333333,66.6,138.4,0.239999999999998,0.04,negative,119.6,45.6,zero,zero,zero,116,120.2,66.2,23.82,high,high,high,-4.4,8.32,120,46,high,mid,5.44,high,-1.4,8056097.5,272912.22,-2.628559390220687
A,5.31333333333333,23.8866666666667,0.268,64.2,136.8,0.400000000000002,0.04,negative,122.2,51.8,zero,zero,zero,124,123.4,65.8,20.74,low,low,low,-4.4,8.4,120,46,high,low,5.38,low,-1.2844582472000674,506017.5,34216.780000000006,-2.096787724877965
B,5.32,24.1733333333333,0.220666666666667,67.6,141.4,0.34,0.04,negative,124.2,46.8,zero,zero,zero,132,118.6,65.2,18.96,mid,low,low,-4.4,8.38,120,46,high,low,5.34,low,-1.2151433251860566,504007.5,34216.780000000006,-2.299018741836315
B,5.24666666666667,23.98,0.262666666666667,64.2,140.2,0.119999999999997,0.14,negative,120.8,46,zero,zero,zero,90,120.2,65.4,18.4,high,low,low,-4.4,8.38,120,46,high,low,5.34,low,-1.2733639150166018,8056097.5,274095.57999999996,-2.1146001881855723
B,5.26666666666667,24.0066666666667,0.231333333333333,72,147.4,0.240000000000002,0.0599999999999996,negative,119.8,45.2,zero,zero,zero,108,120.8,66.6,13.5,high,low,low,-4.4,8.5,120,46,high,low,5.34,low,-1.7633568086760154,8112391.5,239708.37999999998,-2.6694708441470647
B,5.32,23.92,0.258666666666667,66.2,139.4,0.18,0.04,negative,119.6,46.6,zero,zero,zero,94,119.6,65,19.04,high,low,low,-4.4,8.34,120,46,high,low,5.34,low,-1.4414303982492425,8080199.5,264264,-2.520327901793584
B,5.35333333333333,24.0666666666667,0.251333333333333,61.6,132.8,0.18,0.0200000000000005,negative,119.2,46.6,zero,zero,zero,86,119.6,65.4,18.44,high,low,low,-4.4,8.34,120,46,high,low,5.34,low,-1.33667504192892,8048071.5,270112,-2.1708524173271297
B,5.22,23.8933333333333,0.267333333333333,63.4,141,0.38,0.0600000000000005,negative,117.4,45.4,zero,zero,zero,98,121,65,17.12,high,low,low,-4.4,8.34,120,46,high,low,5.34,low,-1.3247222793546347,8048071.5,266157.58,-2.2759300725733387
B,5.26666666666667,23.8933333333333,0.228666666666667,71.6,147.8,0.219999999999999,0.04,negative,113.6,46,zero,zero,zero,94,120,65,23.44,high,low,low,-4.4,8.38,120,46,high,low,5.34,low,-1.3803226646068132,8048071.5,267180,-2.299018741836315
B,5.26666666666667,23.8733333333333,0.334,72.6,148,0.36,0.08,negative,120.2,46.6,zero,zero,zero,92,120,65,21.16,high,low,low,-4.4,8.4,120,46,high,low,5.34,low,-1.2,8040049.5,268204.38,-2.096787724877965
B,5.28666666666667,23.8666666666667,0.256666666666667,68,143.2,0.16,0.0199999999999996,negative,129,47.4,zero,zero,zero,96,119.8,65.2,19.88,high,low,low,-4.4,8.42,120,46,high,low,5.34,low,-1.6312182217082845,8040049.5,267180,-2.299018741836315
C,5.22666666666667,23.6933333333333,0.316666666666667,63.8,138.2,0.200000000000003,0.0599999999999996,negative,123.4,48.8,zero,zero,zero,92,120.2,68.8,17.02,high,low,low,-4.2,8.58,120,46,high,low,5.34,low,-1.2957273255336397,1318687.5,43748.32000000001,-1.5171178947033161
B,5.35333333333333,23.9933333333333,0.279333333333333,64.8,137,0.0599999999999987,0.0200000000000005,negative,115.6,46.4,zero,zero,zero,94,120.4,65.2,21.82,high,low,low,-4,8.5,120,46,high,low,5.36,low,-1.235801073018288,8048071.5,263827.98,-2.299018741836315
B,5.36666666666667,24.0933333333333,0.261333333333333,70.6,143.8,0.48,0.08,negative,121.4,47,zero,zero,zero,98,116.4,65.4,20.32,high,low,low,-4,8.44,120,46,high,low,5.28,low,-1.061916848035314,4681799.5,143540.31999999998,-2.1146001881855723
C,5.21333333333333,23.9866666666667,0.235333333333333,62.6,140.8,0.0999999999999979,0.2,negative,119.6,45.4,zero,zero,zero,102,120.2,67.8,16.44,high,low,low,-4,8.3,120,46,high,low,5.34,low,-1.0080322585890205,8048071.5,267765.12,-2.299018741836315
C,5.22,24.26,0.112,66.8,143.4,0.0800000000000018,0.0599999999999996,negative,116.6,46.4,zero,zero,zero,94,121,65.4,16.56,high,low,low,-4.2,8.42,120,46,high,low,5.34,low,-1.590121969361616,8040049.5,263827.98,-2.6694708441470647
B,5.33333333333333,24.0933333333333,0.304666666666667,66,139.4,0.0600000000000023,0.08,negative,130.2,44.2,zero,zero,zero,130,100.2,69.8,21.98,low,low,low,-4,8.48,100,50,high,low,5.4,low,-1.5101020514433645,508031.5,6520.320000000001,-1.6256073885202433
B,5.34,23.9866666666667,0.212,68.2,142.2,0.16,0.04,negative,113.6,51.4,zero,zero,zero,100,96.8,66.6,19.36,high,low,low,-4.2,8.52,100,50,high,low,5.38,low,-1.6101282262076415,4310047.5,134680,-1.198659719118994
B,5.4133333333333304,23.9866666666667,0.292666666666667,70,142.8,0.0199999999999996,0.04,negative,118.2,50.2,zero,zero,zero,96,100.4,66,24,high,low,low,-4.2,8.44,100,50,high,low,5.38,low,-1.2957273255336397,8064127.5,268350.88,-1.953326875586271
B,5.37333333333333,24.02,0.281333333333333,68,141,0.260000000000002,0.0199999999999996,negative,119.2,50,zero,zero,zero,90,100.2,66.2,21.58,high,low,low,-4.2,8.44,100,50,high,low,5.28,low,-1.3612512230931475,8040049.5,269671.18,-2.1146001881855723
B,5.31333333333333,23.9866666666667,0.294,68.2,142.2,0.18,0.100000000000001,negative,118,50,zero,zero,zero,94,99.8,66,20.72,high,low,low,-4.2,8.4,100,50,high,low,5.36,low,-1.5439298299603448,8064127.5,268497.42,-1.354614612239854
B,5.36,24.0266666666667,0.278,67,139.8,0.34,0.04,negative,115.2,50.2,zero,zero,zero,102,100.2,68.2,21.6,high,low,low,-4.2,8.42,100,50,high,low,5.38,low,-1.434314575050762,8056097.5,274095.57999999996,-1.8708653554681016
B,5.44666666666667,24.02,0.09,70.8,142.6,0.34,0.0199999999999996,negative,124.4,50,zero,zero,zero,96,100.8,65.6,23.58,high,low,low,-4.2,8.42,100,50,high,low,5.38,low,-1.7809109769979337,8048071.5,266011.68,-1.9109957471629402
B,5.38,24.0733333333333,0.218,66.6,138.8,0.18,0.04,negative,116.4,50,zero,zero,zero,92,100,65.8,21.4,high,low,low,-4.2,8.4,100,50,high,low,5.4,low,-1.6,8040049.5,267180,-2.1146001881855723
B,5.39333333333333,24.0866666666667,0.212,65.8,137.4,0.100000000000001,0.0200000000000005,negative,118.6,50,zero,zero,zero,102,100.6,66.4,18.32,high,low,low,-4.2,8.44,100,50,high,low,5.4,low,-1.3612512230931475,8064127.5,269524.32,-1.953326875586271
B,5.40666666666667,24.1133333333333,0.222,67.4,138.6,0.220000000000002,0.0600000000000005,negative,116.8,49.8,zero,zero,zero,100,100.4,65.8,21.16,high,low,low,-4.2,8.36,100,50,high,low,5.38,low,-1.2844582472000674,8056097.5,267618.78,-1.8708653554681016
B,5.36666666666667,24.0933333333333,0.210666666666667,70.8,144.2,0.0400000000000027,0.08,negative,115.2,50.2,zero,zero,zero,96,100.2,65.8,22.9,high,low,low,-4.2,8.36,100,50,high,low,5.38,low,-1.478463807583788,8040049.5,267180,-1.953326875586271
B,5.3,24.0733333333333,0.186,69.6,143.8,0.420000000000002,0.24,negative,121.2,50.4,zero,zero,zero,94,110,65.8,19.18,high,low,low,-4.2,8.4,110,50,high,low,5.38,low,-1.5439298299603448,8056097.5,266887.68,-1.967975021339981
B,5.36,24.08,0.154666666666667,68.6,141.6,0.0400000000000027,0.0599999999999996,negative,119.6,50,zero,zero,zero,100,109.4,65.8,15.88,high,low,low,-4.2,8.38,110,50,high,low,5.38,low,-1.406704121032347,8040049.5,273799.5,-2.132863680240015
B,5.36666666666667,24.0466666666667,0.132666666666667,68.2,141,0.34,0.16,negative,118,50.2,zero,zero,zero,94,110,65.8,18.54,high,low,low,-4.2,8.44,110,50,high,low,5.38,low,-1.3306719787727395,8040049.5,269230.72,-2.1146001881855723
B,5.37333333333333,24.0066666666667,0.316,69.4,142.8,0.280000000000001,0.0199999999999996,negative,120.4,49.8,zero,zero,zero,96,110.2,67.4,19.98,high,low,low,-4,8.36,110,50,high,low,5.36,low,-1.717157287525381,8048071.5,265282.77999999997,-2.1146001881855723
B,5.34666666666667,23.9866666666667,0.228,68.8,142.4,0.260000000000002,0.0599999999999996,negative,121.4,43,zero,zero,zero,120,120,67,13.66,mid,low,low,-4,8.4,120,50,high,low,5.4,low,-1.1900617307473365,506017.5,27612,-1.982911831727418
B,5.37333333333333,24.0133333333333,0.2,65.2,137.4,0.34,0.0199999999999996,negative,116,50.2,zero,zero,zero,96,120.8,66.4,21.98,high,low,low,-4,8.38,120,50,high,low,5.4,low,-1.3306719787727395,8056097.5,246682.37999999998,-2.1516047398582434
B,5.32666666666667,24.06,0.239333333333333,75.8,151.4,0.0800000000000018,0.0199999999999996,negative,117,45.8,zero,zero,zero,94,119.6,66.6,18.12,high,low,low,-3.8,8.36,120,46,high,low,5.42,low,-1.434314575050762,8048071.5,268350.88,-1.967975021339981
C,5.27333333333333,23.86,0.112666666666667,65.6,140.2,0.100000000000001,0.04,negative,119.4,45.8,zero,zero,zero,92,119.2,67.2,13.78,high,low,low,-3.8,8.28,120,46,high,low,5.38,low,-1.5527864045000421,8056097.5,260641.5,-2.132863680240015
C,5.34,23.9,0.295333333333333,62.2,133.2,0.199999999999999,0.08,negative,118.6,41.6,zero,zero,zero,120,117,67.2,18.4,high,low,low,-3.8,8.26,120,46,high,low,5.32,low,-1.3488471761560117,504007.5,90652.32,-2.299018741836315
C,5.26666666666667,23.96,0.310666666666667,69.2,144.6,0.18,0.0200000000000005,negative,116.4,45.8,zero,zero,zero,96,120.6,67.2,16.32,high,low,low,-3.8,8.28,120,46,high,low,5.32,low,-1.2254033307585166,8040049.5,269230.72,-1.967975021339981
D,5.46,24.1733333333333,0.179333333333333,66.8,138.4,0.32,0.12,negative,117.4,45.8,zero,zero,zero,84,120.2,66.2,16.98,high,high,high,-4,8.4,120,46,high,high,5.6,high,-1.393369964475876,8048071.5,268057.92000000004,-1.5696477221831653
D,5.51333333333333,23.9733333333333,0.227333333333333,72.6,143.4,0.220000000000002,0.0199999999999996,negative,131.8,44.6,zero,zero,zero,78,119.6,66.2,20.48,high,high,high,-4,8.46,120,46,high,high,5.6,high,-1.2678797912910749,8056097.5,270847.5,-1.7501628257398356
D,5.51333333333333,23.98,0.232,72,141.4,0.34,0.0799999999999992,negative,119.4,45.6,zero,zero,zero,74,118.8,66.2,20.36,high,high,high,-4,8.4,120,46,high,high,5.6,high,-1.393369964475876,8048071.5,269671.18,-1.5696477221831653
